,Bounce Type,Hard Bounces,Member_Rating,Opens,Soft Bounces,Successful Deliveries,Total Bounces,Total Recipients,campaign_id,email_id,Subject
0,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1282,Register as a member before New Years to get your Gift set!
1,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,401,Register as a member before New Years to get your Gift set!
2,sent,16.0,3.0,3.0,39.0,1784.0,55.0,1839.0,1,1494,Register as a member before New Years to get your Gift set!
3,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1532,Register as a member before New Years to get your Gift set!
4,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,411,Register as a member before New Years to get your Gift set!
5,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,625,Register as a member before New Years to get your Gift set!
6,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1102,Register as a member before New Years to get your Gift set!
7,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,177,Register as a member before New Years to get your Gift set!
8,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,159,Register as a member before New Years to get your Gift set!
9,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1394,Register as a member before New Years to get your Gift set!
10,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1340,Register as a member before New Years to get your Gift set!
11,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1267,Register as a member before New Years to get your Gift set!
12,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,527,Register as a member before New Years to get your Gift set!
13,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,558,Register as a member before New Years to get your Gift set!
14,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,662,Register as a member before New Years to get your Gift set!
15,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,887,Register as a member before New Years to get your Gift set!
16,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,655,Register as a member before New Years to get your Gift set!
17,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,1252,Register as a member before New Years to get your Gift set!
18,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1505,Register as a member before New Years to get your Gift set!
19,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,727,Register as a member before New Years to get your Gift set!
20,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1061,Register as a member before New Years to get your Gift set!
21,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,222,Register as a member before New Years to get your Gift set!
22,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,692,Register as a member before New Years to get your Gift set!
23,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,507,Register as a member before New Years to get your Gift set!
24,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,189,Register as a member before New Years to get your Gift set!
25,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,76,Register as a member before New Years to get your Gift set!
26,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1551,Register as a member before New Years to get your Gift set!
27,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,787,Register as a member before New Years to get your Gift set!
28,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,1385,Register as a member before New Years to get your Gift set!
29,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1503,Register as a member before New Years to get your Gift set!
30,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,207,Register as a member before New Years to get your Gift set!
31,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1241,Register as a member before New Years to get your Gift set!
32,sent,16.0,2.0,3.0,39.0,1784.0,55.0,1839.0,1,1276,Register as a member before New Years to get your Gift set!
33,sent,16.0,2.0,2.0,39.0,1784.0,55.0,1839.0,1,145,Register as a member before New Years to get your Gift set!
34,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1485,Register as a member before New Years to get your Gift set!
35,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1561,Register as a member before New Years to get your Gift set!
36,sent,16.0,2.0,2.0,39.0,1784.0,55.0,1839.0,1,186,Register as a member before New Years to get your Gift set!
37,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,451,Register as a member before New Years to get your Gift set!
38,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,637,Register as a member before New Years to get your Gift set!
39,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1245,Register as a member before New Years to get your Gift set!
40,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,404,Register as a member before New Years to get your Gift set!
41,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,716,Register as a member before New Years to get your Gift set!
42,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,926,Register as a member before New Years to get your Gift set!
43,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,213,Register as a member before New Years to get your Gift set!
44,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1431,Register as a member before New Years to get your Gift set!
45,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,379,Register as a member before New Years to get your Gift set!
46,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1335,Register as a member before New Years to get your Gift set!
47,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,853,Register as a member before New Years to get your Gift set!
48,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,310,Register as a member before New Years to get your Gift set!
49,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1016,Register as a member before New Years to get your Gift set!
50,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1290,Register as a member before New Years to get your Gift set!
51,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1117,Register as a member before New Years to get your Gift set!
52,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,703,Register as a member before New Years to get your Gift set!
53,sent,16.0,2.0,3.0,39.0,1784.0,55.0,1839.0,1,355,Register as a member before New Years to get your Gift set!
54,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,561,Register as a member before New Years to get your Gift set!
55,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1187,Register as a member before New Years to get your Gift set!
56,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1059,Register as a member before New Years to get your Gift set!
57,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,101,Register as a member before New Years to get your Gift set!
58,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1417,Register as a member before New Years to get your Gift set!
59,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,844,Register as a member before New Years to get your Gift set!
60,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,924,Register as a member before New Years to get your Gift set!
61,sent,16.0,1.0,1.0,39.0,1784.0,55.0,1839.0,1,137,Register as a member before New Years to get your Gift set!
62,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,996,Register as a member before New Years to get your Gift set!
63,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,433,Register as a member before New Years to get your Gift set!
64,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,68,Register as a member before New Years to get your Gift set!
65,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1620,Register as a member before New Years to get your Gift set!
66,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,948,Register as a member before New Years to get your Gift set!
67,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1040,Register as a member before New Years to get your Gift set!
68,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,287,Register as a member before New Years to get your Gift set!
69,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1516,Register as a member before New Years to get your Gift set!
70,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1273,Register as a member before New Years to get your Gift set!
71,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1601,Register as a member before New Years to get your Gift set!
72,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,1326,Register as a member before New Years to get your Gift set!
73,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1303,Register as a member before New Years to get your Gift set!
74,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1114,Register as a member before New Years to get your Gift set!
75,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1484,Register as a member before New Years to get your Gift set!
76,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,742,Register as a member before New Years to get your Gift set!
77,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,130,Register as a member before New Years to get your Gift set!
78,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1520,Register as a member before New Years to get your Gift set!
79,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,965,Register as a member before New Years to get your Gift set!
80,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,170,Register as a member before New Years to get your Gift set!
81,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,834,Register as a member before New Years to get your Gift set!
82,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1297,Register as a member before New Years to get your Gift set!
83,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,1144,Register as a member before New Years to get your Gift set!
84,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,240,Register as a member before New Years to get your Gift set!
85,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1564,Register as a member before New Years to get your Gift set!
86,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,175,Register as a member before New Years to get your Gift set!
87,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,759,Register as a member before New Years to get your Gift set!
88,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1403,Register as a member before New Years to get your Gift set!
89,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,571,Register as a member before New Years to get your Gift set!
90,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,472,Register as a member before New Years to get your Gift set!
91,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,789,Register as a member before New Years to get your Gift set!
92,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1145,Register as a member before New Years to get your Gift set!
93,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1433,Register as a member before New Years to get your Gift set!
94,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,474,Register as a member before New Years to get your Gift set!
95,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1046,Register as a member before New Years to get your Gift set!
96,sent,16.0,4.0,3.0,39.0,1784.0,55.0,1839.0,1,1389,Register as a member before New Years to get your Gift set!
97,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1056,Register as a member before New Years to get your Gift set!
98,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1566,Register as a member before New Years to get your Gift set!
99,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1120,Register as a member before New Years to get your Gift set!
100,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,225,Register as a member before New Years to get your Gift set!
101,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1558,Register as a member before New Years to get your Gift set!
102,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,810,Register as a member before New Years to get your Gift set!
103,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,118,Register as a member before New Years to get your Gift set!
104,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,754,Register as a member before New Years to get your Gift set!
105,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1153,Register as a member before New Years to get your Gift set!
106,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,67,Register as a member before New Years to get your Gift set!
107,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1511,Register as a member before New Years to get your Gift set!
108,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,807,Register as a member before New Years to get your Gift set!
109,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,547,Register as a member before New Years to get your Gift set!
110,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,846,Register as a member before New Years to get your Gift set!
111,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,326,Register as a member before New Years to get your Gift set!
112,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,901,Register as a member before New Years to get your Gift set!
113,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,282,Register as a member before New Years to get your Gift set!
114,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,372,Register as a member before New Years to get your Gift set!
115,sent,16.0,2.0,2.0,39.0,1784.0,55.0,1839.0,1,1096,Register as a member before New Years to get your Gift set!
116,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,255,Register as a member before New Years to get your Gift set!
117,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,1224,Register as a member before New Years to get your Gift set!
118,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1596,Register as a member before New Years to get your Gift set!
119,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,743,Register as a member before New Years to get your Gift set!
120,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,290,Register as a member before New Years to get your Gift set!
121,sent,16.0,2.0,2.0,39.0,1784.0,55.0,1839.0,1,967,Register as a member before New Years to get your Gift set!
122,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,1239,Register as a member before New Years to get your Gift set!
123,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,369,Register as a member before New Years to get your Gift set!
124,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1204,Register as a member before New Years to get your Gift set!
125,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,1110,Register as a member before New Years to get your Gift set!
126,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,30,Register as a member before New Years to get your Gift set!
127,sent,16.0,4.0,1.0,39.0,1784.0,55.0,1839.0,1,532,Register as a member before New Years to get your Gift set!
128,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,232,Register as a member before New Years to get your Gift set!
129,sent,16.0,3.0,1.0,39.0,1784.0,55.0,1839.0,1,64,Register as a member before New Years to get your Gift set!
130,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,78,Register as a member before New Years to get your Gift set!
131,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,303,Register as a member before New Years to get your Gift set!
132,sent,16.0,2.0,1.0,39.0,1784.0,55.0,1839.0,1,341,Register as a member before New Years to get your Gift set!
133,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,517,Register as a member before New Years to get your Gift set!
134,sent,16.0,4.0,2.0,39.0,1784.0,55.0,1839.0,1,633,Register as a member before New Years to get your Gift set!
135,sent,16.0,3.0,2.0,39.0,1784.0,55.0,1839.0,1,528,Register as a member before New Years to get your Gift set!
