,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4,1.0,sent,1,1839,1784,39,16,55,1282
1,2,1.0,sent,1,1839,1784,39,16,55,401
2,3,3.0,sent,1,1839,1784,39,16,55,1494
3,2,1.0,sent,1,1839,1784,39,16,55,1532
4,2,1.0,sent,1,1839,1784,39,16,55,411
5,3,1.0,sent,1,1839,1784,39,16,55,625
6,2,1.0,sent,1,1839,1784,39,16,55,1102
7,3,1.0,sent,1,1839,1784,39,16,55,177
8,2,1.0,sent,1,1839,1784,39,16,55,159
9,4,1.0,sent,1,1839,1784,39,16,55,1394
10,2,1.0,sent,1,1839,1784,39,16,55,1340
11,4,1.0,sent,1,1839,1784,39,16,55,1267
12,2,1.0,sent,1,1839,1784,39,16,55,527
13,2,1.0,sent,1,1839,1784,39,16,55,558
14,4,1.0,sent,1,1839,1784,39,16,55,662
15,2,1.0,sent,1,1839,1784,39,16,55,887
16,2,1.0,sent,1,1839,1784,39,16,55,655
17,3,2.0,sent,1,1839,1784,39,16,55,1252
18,2,1.0,sent,1,1839,1784,39,16,55,1505
19,4,1.0,sent,1,1839,1784,39,16,55,727
20,3,1.0,sent,1,1839,1784,39,16,55,1061
21,3,1.0,sent,1,1839,1784,39,16,55,222
22,2,1.0,sent,1,1839,1784,39,16,55,692
23,3,1.0,sent,1,1839,1784,39,16,55,507
24,2,1.0,sent,1,1839,1784,39,16,55,189
25,2,1.0,sent,1,1839,1784,39,16,55,76
26,4,1.0,sent,1,1839,1784,39,16,55,1551
27,4,1.0,sent,1,1839,1784,39,16,55,787
28,3,2.0,sent,1,1839,1784,39,16,55,1385
29,3,1.0,sent,1,1839,1784,39,16,55,1503
30,2,1.0,sent,1,1839,1784,39,16,55,207
31,3,1.0,sent,1,1839,1784,39,16,55,1241
32,2,3.0,sent,1,1839,1784,39,16,55,1276
33,2,2.0,sent,1,1839,1784,39,16,55,145
34,2,1.0,sent,1,1839,1784,39,16,55,1485
35,2,1.0,sent,1,1839,1784,39,16,55,1561
36,2,2.0,sent,1,1839,1784,39,16,55,186
37,2,1.0,sent,1,1839,1784,39,16,55,451
38,4,2.0,sent,1,1839,1784,39,16,55,637
