,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4.0,2.0,sent,2.0,1760,1723,31,6,37,1579
1,2.0,1.0,sent,2.0,1760,1723,31,6,37,1492
2,3.0,1.0,sent,2.0,1760,1723,31,6,37,135
3,2.0,1.0,sent,2.0,1760,1723,31,6,37,875
4,4.0,1.0,sent,2.0,1760,1723,31,6,37,729
5,3.0,1.0,sent,2.0,1760,1723,31,6,37,40
6,2.0,1.0,sent,2.0,1760,1723,31,6,37,1273
7,2.0,1.0,sent,2.0,1760,1723,31,6,37,560
8,2.0,1.0,sent,2.0,1760,1723,31,6,37,1153
9,4.0,1.0,sent,2.0,1760,1723,31,6,37,229
10,2.0,1.0,sent,2.0,1760,1723,31,6,37,1523
11,3.0,1.0,sent,2.0,1760,1723,31,6,37,160
12,4.0,1.0,sent,2.0,1760,1723,31,6,37,354
13,3.0,1.0,sent,2.0,1760,1723,31,6,37,1007
14,2.0,1.0,sent,2.0,1760,1723,31,6,37,1691
15,2.0,1.0,sent,2.0,1760,1723,31,6,37,1472
16,2.0,1.0,sent,2.0,1760,1723,31,6,37,651
17,3.0,2.0,sent,2.0,1760,1723,31,6,37,625
18,3.0,1.0,sent,2.0,1760,1723,31,6,37,575
19,2.0,1.0,sent,2.0,1760,1723,31,6,37,574
20,2.0,1.0,sent,2.0,1760,1723,31,6,37,145
21,2.0,1.0,sent,2.0,1760,1723,31,6,37,234
22,3.0,1.0,sent,2.0,1760,1723,31,6,37,857
23,2.0,1.0,sent,2.0,1760,1723,31,6,37,1295
24,4.0,1.0,sent,2.0,1760,1723,31,6,37,88
25,2.0,3.0,sent,2.0,1760,1723,31,6,37,455
26,2.0,1.0,sent,2.0,1760,1723,31,6,37,1021
27,4.0,1.0,sent,2.0,1760,1723,31,6,37,1138
28,2.0,1.0,sent,2.0,1760,1723,31,6,37,303
29,4.0,2.0,sent,2.0,1760,1723,31,6,37,352
