,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4.0,1.0,sent,6.0,1592,1582,4,6,10,1579
1,3.0,1.0,sent,6.0,1592,1582,4,6,10,982
2,3.0,1.0,sent,6.0,1592,1582,4,6,10,1203
3,4.0,1.0,sent,6.0,1592,1582,4,6,10,729
4,3.0,2.0,sent,6.0,1592,1582,4,6,10,40
5,2.0,1.0,sent,6.0,1592,1582,4,6,10,1273
6,4.0,1.0,sent,6.0,1592,1582,4,6,10,1587
7,2.0,1.0,sent,6.0,1592,1582,4,6,10,1153
8,4.0,1.0,sent,6.0,1592,1582,4,6,10,354
9,3.0,4.0,sent,6.0,1592,1582,4,6,10,51
10,2.0,1.0,sent,6.0,1592,1582,4,6,10,436
11,2.0,1.0,sent,6.0,1592,1582,4,6,10,1559
12,2.0,1.0,sent,6.0,1592,1582,4,6,10,785
13,3.0,1.0,sent,6.0,1592,1582,4,6,10,625
14,2.0,1.0,sent,6.0,1592,1582,4,6,10,1416
15,2.0,2.0,sent,6.0,1592,1582,4,6,10,679
16,3.0,1.0,sent,6.0,1592,1582,4,6,10,857
17,2.0,1.0,sent,6.0,1592,1582,4,6,10,366
18,4.0,1.0,sent,6.0,1592,1582,4,6,10,88
19,4.0,1.0,sent,6.0,1592,1582,4,6,10,1138
20,4.0,1.0,sent,6.0,1592,1582,4,6,10,1400
21,3.0,1.0,sent,6.0,1592,1582,4,6,10,1585
22,2.0,1.0,sent,6.0,1592,1582,4,6,10,378
23,2.0,1.0,sent,6.0,1592,1582,4,6,10,1274
24,3.0,1.0,sent,6.0,1592,1582,4,6,10,1287
25,2.0,1.0,sent,6.0,1592,1582,4,6,10,343
26,2.0,1.0,sent,6.0,1592,1582,4,6,10,722
27,2.0,1.0,sent,6.0,1592,1582,4,6,10,1072
28,2.0,3.0,sent,6.0,1592,1582,4,6,10,358
29,4.0,1.0,sent,6.0,1592,1582,4,6,10,235
30,3.0,1.0,sent,6.0,1592,1582,4,6,10,405
31,3.0,1.0,sent,6.0,1592,1582,4,6,10,1609
32,2.0,1.0,sent,6.0,1592,1582,4,6,10,285
33,4.0,1.0,sent,6.0,1592,1582,4,6,10,520
34,2.0,1.0,sent,6.0,1592,1582,4,6,10,6
35,2.0,1.0,sent,6.0,1592,1582,4,6,10,1433
36,2.0,1.0,sent,6.0,1592,1582,4,6,10,116
37,2.0,1.0,sent,6.0,1592,1582,4,6,10,1237
38,3.0,1.0,sent,6.0,1592,1582,4,6,10,1338
39,2.0,2.0,sent,6.0,1592,1582,4,6,10,1624
40,2.0,3.0,sent,6.0,1592,1582,4,6,10,432
41,2.0,1.0,sent,6.0,1592,1582,4,6,10,458
42,3.0,1.0,sent,6.0,1592,1582,4,6,10,1598
43,3.0,1.0,sent,6.0,1592,1582,4,6,10,372
44,2.0,1.0,sent,6.0,1592,1582,4,6,10,1647
45,2.0,1.0,sent,6.0,1592,1582,4,6,10,265
46,3.0,1.0,sent,6.0,1592,1582,4,6,10,422
47,2.0,1.0,sent,6.0,1592,1582,4,6,10,1549
48,4.0,1.0,sent,6.0,1592,1582,4,6,10,1631
49,3.0,1.0,sent,6.0,1592,1582,4,6,10,790
50,3.0,1.0,sent,6.0,1592,1582,4,6,10,1457
51,3.0,1.0,sent,6.0,1592,1582,4,6,10,1544
52,2.0,1.0,sent,6.0,1592,1582,4,6,10,1535
53,4.0,1.0,sent,6.0,1592,1582,4,6,10,1527
54,3.0,1.0,sent,6.0,1592,1582,4,6,10,1374
55,2.0,1.0,sent,6.0,1592,1582,4,6,10,988
56,3.0,1.0,sent,6.0,1592,1582,4,6,10,280
57,3.0,3.0,sent,6.0,1592,1582,4,6,10,1601
58,4.0,1.0,sent,6.0,1592,1582,4,6,10,1222
59,3.0,1.0,sent,6.0,1592,1582,4,6,10,797
60,3.0,1.0,sent,6.0,1592,1582,4,6,10,1596
61,3.0,1.0,sent,6.0,1592,1582,4,6,10,242
62,4.0,3.0,sent,6.0,1592,1582,4,6,10,522
63,2.0,1.0,sent,6.0,1592,1582,4,6,10,387
64,4.0,2.0,sent,6.0,1592,1582,4,6,10,42
65,3.0,1.0,sent,6.0,1592,1582,4,6,10,998
66,2.0,1.0,sent,6.0,1592,1582,4,6,10,1093
67,3.0,1.0,sent,6.0,1592,1582,4,6,10,677
68,2.0,1.0,sent,6.0,1592,1582,4,6,10,79
69,3.0,1.0,sent,6.0,1592,1582,4,6,10,567
70,3.0,1.0,sent,6.0,1592,1582,4,6,10,187
71,3.0,1.0,sent,6.0,1592,1582,4,6,10,1024
72,2.0,1.0,sent,6.0,1592,1582,4,6,10,1154
73,3.0,1.0,sent,6.0,1592,1582,4,6,10,278
74,4.0,1.0,sent,6.0,1592,1582,4,6,10,1590
75,2.0,1.0,sent,6.0,1592,1582,4,6,10,1262
76,4.0,1.0,sent,6.0,1592,1582,4,6,10,647
77,3.0,1.0,sent,6.0,1592,1582,4,6,10,1618
78,4.0,2.0,sent,6.0,1592,1582,4,6,10,489
79,3.0,2.0,sent,6.0,1592,1582,4,6,10,193
80,3.0,1.0,sent,6.0,1592,1582,4,6,10,227
81,3.0,3.0,sent,6.0,1592,1582,4,6,10,990
82,3.0,1.0,sent,6.0,1592,1582,4,6,10,1066
83,3.0,1.0,sent,6.0,1592,1582,4,6,10,822
84,4.0,1.0,sent,6.0,1592,1582,4,6,10,377
85,2.0,1.0,sent,6.0,1592,1582,4,6,10,1265
86,4.0,1.0,sent,6.0,1592,1582,4,6,10,1686
87,4.0,1.0,sent,6.0,1592,1582,4,6,10,1322
88,4.0,1.0,sent,6.0,1592,1582,4,6,10,1299
89,4.0,1.0,sent,6.0,1592,1582,4,6,10,1070
90,2.0,2.0,sent,6.0,1592,1582,4,6,10,958
91,2.0,1.0,sent,6.0,1592,1582,4,6,10,152
92,2.0,1.0,sent,6.0,1592,1582,4,6,10,1275
93,4.0,1.0,sent,6.0,1592,1582,4,6,10,688
94,2.0,1.0,sent,6.0,1592,1582,4,6,10,176
95,4.0,1.0,sent,6.0,1592,1582,4,6,10,295
96,2.0,1.0,sent,6.0,1592,1582,4,6,10,250
97,4.0,5.0,sent,6.0,1592,1582,4,6,10,123
