,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4,1.0,sent,3,1890,1700,46,144,190,347
1,3,1.0,sent,3,1890,1700,46,144,190,1217
2,3,1.0,sent,3,1890,1700,46,144,190,1404
3,2,1.0,sent,3,1890,1700,46,144,190,433
4,4,1.0,sent,3,1890,1700,46,144,190,1159
5,4,1.0,sent,3,1890,1700,46,144,190,95
6,3,2.0,sent,3,1890,1700,46,144,190,508
7,2,1.0,sent,3,1890,1700,46,144,190,1651
8,2,1.0,sent,3,1890,1700,46,144,190,88
9,2,1.0,sent,3,1890,1700,46,144,190,426
10,4,1.0,sent,3,1890,1700,46,144,190,1193
11,2,1.0,sent,3,1890,1700,46,144,190,463
12,3,2.0,sent,3,1890,1700,46,144,190,903
13,3,1.0,sent,3,1890,1700,46,144,190,1422
14,2,1.0,sent,3,1890,1700,46,144,190,185
15,3,1.0,sent,3,1890,1700,46,144,190,1513
16,2,1.0,sent,3,1890,1700,46,144,190,1218
17,2,1.0,sent,3,1890,1700,46,144,190,337
18,2,1.0,sent,3,1890,1700,46,144,190,67
19,4,1.0,sent,3,1890,1700,46,144,190,811
20,4,1.0,sent,3,1890,1700,46,144,190,1396
21,3,1.0,sent,3,1890,1700,46,144,190,840
22,3,1.0,sent,3,1890,1700,46,144,190,692
23,2,1.0,sent,3,1890,1700,46,144,190,249
24,2,1.0,sent,3,1890,1700,46,144,190,1145
25,2,1.0,sent,3,1890,1700,46,144,190,507
26,4,1.0,sent,3,1890,1700,46,144,190,1460
27,3,1.0,sent,3,1890,1700,46,144,190,1411
28,3,1.0,sent,3,1890,1700,46,144,190,1441
29,4,1.0,sent,3,1890,1700,46,144,190,953
30,2,1.0,sent,3,1890,1700,46,144,190,1015
31,3,1.0,sent,3,1890,1700,46,144,190,1351
32,2,1.0,sent,3,1890,1700,46,144,190,926
33,2,1.0,sent,3,1890,1700,46,144,190,610
34,3,2.0,sent,3,1890,1700,46,144,190,36
35,2,2.0,sent,3,1890,1700,46,144,190,672
36,3,1.0,sent,3,1890,1700,46,144,190,1620
37,2,1.0,sent,3,1890,1700,46,144,190,914
38,2,1.0,sent,3,1890,1700,46,144,190,498
39,2,1.0,sent,3,1890,1700,46,144,190,719
40,2,1.0,sent,3,1890,1700,46,144,190,1419
41,3,1.0,sent,3,1890,1700,46,144,190,448
42,3,8.0,sent,3,1890,1700,46,144,190,39
