,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Unnamed: 0.1,email_id
0,4.0,1.0,sent,7.0,199,183,5,11,16,630,630
1,2.0,1.0,sent,7.0,199,183,5,11,16,1348,1348
2,3.0,3.0,sent,7.0,199,183,5,11,16,653,653
3,4.0,4.0,sent,7.0,199,183,5,11,16,1100,1100
4,3.0,2.0,sent,7.0,199,183,5,11,16,175,175
5,3.0,1.0,sent,7.0,199,183,5,11,16,277,277
6,4.0,1.0,sent,7.0,199,183,5,11,16,1175,1175
7,4.0,1.0,sent,7.0,199,183,5,11,16,1547,1547
8,3.0,1.0,sent,7.0,199,183,5,11,16,585,585
9,4.0,2.0,sent,7.0,199,183,5,11,16,1471,1471
10,4.0,2.0,sent,7.0,199,183,5,11,16,861,861
11,3.0,1.0,sent,7.0,199,183,5,11,16,825,825
12,3.0,1.0,sent,7.0,199,183,5,11,16,1440,1440
13,4.0,1.0,sent,7.0,199,183,5,11,16,625,625
14,2.0,0.0,sent,7.0,199,183,5,11,16,993,993
15,2.0,0.0,sent,7.0,199,183,5,11,16,862,862
16,2.0,0.0,sent,7.0,199,183,5,11,16,1444,1444
17,2.0,0.0,sent,7.0,199,183,5,11,16,626,626
18,3.0,0.0,sent,7.0,199,183,5,11,16,1488,1488
19,2.0,0.0,sent,7.0,199,183,5,11,16,1241,1241
20,2.0,0.0,sent,7.0,199,183,5,11,16,571,571
21,2.0,0.0,sent,7.0,199,183,5,11,16,1491,1491
22,2.0,0.0,sent,7.0,199,183,5,11,16,1376,1376
23,2.0,0.0,sent,7.0,199,183,5,11,16,854,854
24,2.0,0.0,sent,7.0,199,183,5,11,16,66,66
25,2.0,0.0,sent,7.0,199,183,5,11,16,1433,1433
26,2.0,0.0,sent,7.0,199,183,5,11,16,32,32
27,2.0,0.0,sent,7.0,199,183,5,11,16,1734,1734
28,2.0,0.0,sent,7.0,199,183,5,11,16,751,751
29,2.0,0.0,sent,7.0,199,183,5,11,16,442,442
30,2.0,0.0,sent,7.0,199,183,5,11,16,25,25
31,2.0,0.0,sent,7.0,199,183,5,11,16,949,949
32,2.0,0.0,sent,7.0,199,183,5,11,16,562,562
33,2.0,0.0,sent,7.0,199,183,5,11,16,1015,1015
34,2.0,0.0,sent,7.0,199,183,5,11,16,761,761
35,2.0,0.0,sent,7.0,199,183,5,11,16,54,54
36,2.0,0.0,sent,7.0,199,183,5,11,16,462,462
37,2.0,0.0,sent,7.0,199,183,5,11,16,492,492
38,2.0,0.0,sent,7.0,199,183,5,11,16,1696,1696
39,2.0,0.0,sent,7.0,199,183,5,11,16,232,232
40,2.0,0.0,sent,7.0,199,183,5,11,16,1776,1776
41,2.0,0.0,sent,7.0,199,183,5,11,16,126,126
42,2.0,0.0,sent,7.0,199,183,5,11,16,979,979
43,2.0,0.0,sent,7.0,199,183,5,11,16,1059,1059
44,2.0,0.0,sent,7.0,199,183,5,11,16,170,170
45,2.0,0.0,sent,7.0,199,183,5,11,16,601,601
46,2.0,0.0,sent,7.0,199,183,5,11,16,945,945
47,2.0,0.0,sent,7.0,199,183,5,11,16,840,840
48,2.0,0.0,sent,7.0,199,183,5,11,16,152,152
49,2.0,0.0,sent,7.0,199,183,5,11,16,120,120
50,2.0,0.0,sent,7.0,199,183,5,11,16,234,234
51,2.0,0.0,sent,7.0,199,183,5,11,16,1746,1746
52,2.0,0.0,sent,7.0,199,183,5,11,16,1204,1204
53,2.0,0.0,sent,7.0,199,183,5,11,16,1763,1763
54,2.0,0.0,sent,7.0,199,183,5,11,16,513,513
55,3.0,0.0,sent,7.0,199,183,5,11,16,150,150
56,3.0,0.0,sent,7.0,199,183,5,11,16,1009,1009
57,2.0,0.0,sent,7.0,199,183,5,11,16,343,343
58,2.0,0.0,sent,7.0,199,183,5,11,16,1183,1183
59,2.0,0.0,sent,7.0,199,183,5,11,16,894,894
60,2.0,0.0,sent,7.0,199,183,5,11,16,1535,1535
61,2.0,0.0,sent,7.0,199,183,5,11,16,215,215
62,2.0,0.0,sent,7.0,199,183,5,11,16,719,719
63,2.0,0.0,sent,7.0,199,183,5,11,16,309,309
64,2.0,0.0,sent,7.0,199,183,5,11,16,1780,1780
65,2.0,0.0,sent,7.0,199,183,5,11,16,638,638
66,2.0,0.0,sent,7.0,199,183,5,11,16,211,211
67,2.0,0.0,sent,7.0,199,183,5,11,16,523,523
68,2.0,0.0,sent,7.0,199,183,5,11,16,1252,1252
69,2.0,0.0,sent,7.0,199,183,5,11,16,773,773
70,2.0,0.0,sent,7.0,199,183,5,11,16,1068,1068
71,2.0,0.0,sent,7.0,199,183,5,11,16,786,786
72,2.0,0.0,sent,7.0,199,183,5,11,16,781,781
73,3.0,0.0,sent,7.0,199,183,5,11,16,50,50
74,2.0,0.0,sent,7.0,199,183,5,11,16,755,755
75,2.0,0.0,sent,7.0,199,183,5,11,16,649,649
76,2.0,0.0,sent,7.0,199,183,5,11,16,1327,1327
77,2.0,0.0,sent,7.0,199,183,5,11,16,286,286
78,2.0,0.0,sent,7.0,199,183,5,11,16,796,796
79,2.0,0.0,sent,7.0,199,183,5,11,16,1572,1572
80,2.0,0.0,sent,7.0,199,183,5,11,16,298,298
81,2.0,0.0,sent,7.0,199,183,5,11,16,790,790
82,2.0,0.0,sent,7.0,199,183,5,11,16,546,546
83,2.0,0.0,sent,7.0,199,183,5,11,16,1709,1709
84,2.0,0.0,sent,7.0,199,183,5,11,16,570,570
85,2.0,0.0,sent,7.0,199,183,5,11,16,67,67
86,2.0,0.0,sent,7.0,199,183,5,11,16,338,338
87,2.0,0.0,sent,7.0,199,183,5,11,16,1624,1624
88,2.0,0.0,sent,7.0,199,183,5,11,16,158,158
89,2.0,0.0,sent,7.0,199,183,5,11,16,41,41
90,2.0,0.0,sent,7.0,199,183,5,11,16,1238,1238
91,2.0,0.0,sent,7.0,199,183,5,11,16,905,905
92,2.0,0.0,sent,7.0,199,183,5,11,16,1253,1253
93,2.0,0.0,sent,7.0,199,183,5,11,16,1511,1511
94,2.0,0.0,sent,7.0,199,183,5,11,16,1711,1711
95,2.0,0.0,sent,7.0,199,183,5,11,16,489,489
96,2.0,0.0,sent,7.0,199,183,5,11,16,1152,1152
97,2.0,0.0,sent,7.0,199,183,5,11,16,1736,1736
98,2.0,0.0,sent,7.0,199,183,5,11,16,1699,1699
99,2.0,0.0,sent,7.0,199,183,5,11,16,1490,1490
100,2.0,0.0,sent,7.0,199,183,5,11,16,101,101
101,3.0,0.0,sent,7.0,199,183,5,11,16,340,340
102,2.0,0.0,sent,7.0,199,183,5,11,16,320,320
103,2.0,0.0,sent,7.0,199,183,5,11,16,73,73
104,2.0,0.0,sent,7.0,199,183,5,11,16,1041,1041
105,2.0,0.0,sent,7.0,199,183,5,11,16,1167,1167
106,2.0,0.0,sent,7.0,199,183,5,11,16,1114,1114
107,2.0,0.0,sent,7.0,199,183,5,11,16,1368,1368
108,3.0,0.0,sent,7.0,199,183,5,11,16,1588,1588
109,2.0,0.0,sent,7.0,199,183,5,11,16,508,508
110,2.0,0.0,sent,7.0,199,183,5,11,16,963,963
111,2.0,0.0,sent,7.0,199,183,5,11,16,760,760
112,2.0,0.0,sent,7.0,199,183,5,11,16,1310,1310
113,2.0,0.0,sent,7.0,199,183,5,11,16,1386,1386
114,2.0,0.0,sent,7.0,199,183,5,11,16,1139,1139
115,2.0,0.0,sent,7.0,199,183,5,11,16,1010,1010
116,2.0,0.0,sent,7.0,199,183,5,11,16,1018,1018
117,2.0,0.0,sent,7.0,199,183,5,11,16,701,701
118,2.0,0.0,sent,7.0,199,183,5,11,16,743,743
119,2.0,0.0,sent,7.0,199,183,5,11,16,1388,1388
120,2.0,0.0,sent,7.0,199,183,5,11,16,487,487
121,3.0,0.0,sent,7.0,199,183,5,11,16,550,550
122,2.0,0.0,sent,7.0,199,183,5,11,16,1437,1437
123,2.0,0.0,sent,7.0,199,183,5,11,16,91,91
124,2.0,0.0,sent,7.0,199,183,5,11,16,942,942
125,2.0,0.0,sent,7.0,199,183,5,11,16,1275,1275
126,2.0,0.0,sent,7.0,199,183,5,11,16,1476,1476
127,2.0,0.0,sent,7.0,199,183,5,11,16,1545,1545
128,2.0,0.0,sent,7.0,199,183,5,11,16,1233,1233
129,2.0,0.0,sent,7.0,199,183,5,11,16,1306,1306
130,2.0,0.0,sent,7.0,199,183,5,11,16,1465,1465
131,2.0,0.0,sent,7.0,199,183,5,11,16,1514,1514
132,3.0,0.0,sent,7.0,199,183,5,11,16,396,396
133,2.0,0.0,sent,7.0,199,183,5,11,16,378,378
134,2.0,0.0,sent,7.0,199,183,5,11,16,779,779
135,2.0,0.0,sent,7.0,199,183,5,11,16,1567,1567
136,2.0,0.0,sent,7.0,199,183,5,11,16,1313,1313
137,2.0,0.0,sent,7.0,199,183,5,11,16,1422,1422
138,2.0,0.0,sent,7.0,199,183,5,11,16,1064,1064
139,2.0,0.0,sent,7.0,199,183,5,11,16,1292,1292
140,2.0,0.0,sent,7.0,199,183,5,11,16,10,10
141,3.0,0.0,sent,7.0,199,183,5,11,16,111,111
142,2.0,0.0,sent,7.0,199,183,5,11,16,879,879
143,2.0,0.0,sent,7.0,199,183,5,11,16,287,287
144,2.0,0.0,sent,7.0,199,183,5,11,16,548,548
145,2.0,0.0,sent,7.0,199,183,5,11,16,864,864
146,3.0,0.0,sent,7.0,199,183,5,11,16,686,686
147,2.0,0.0,sent,7.0,199,183,5,11,16,1789,1789
148,2.0,0.0,sent,7.0,199,183,5,11,16,512,512
149,3.0,0.0,sent,7.0,199,183,5,11,16,1124,1124
150,2.0,0.0,sent,7.0,199,183,5,11,16,166,166
151,2.0,0.0,sent,7.0,199,183,5,11,16,913,913
152,2.0,0.0,sent,7.0,199,183,5,11,16,943,943
153,3.0,0.0,sent,7.0,199,183,5,11,16,1385,1385
154,2.0,0.0,sent,7.0,199,183,5,11,16,746,746
155,2.0,0.0,sent,7.0,199,183,5,11,16,1617,1617
156,2.0,0.0,sent,7.0,199,183,5,11,16,425,425
157,2.0,0.0,sent,7.0,199,183,5,11,16,868,868
158,2.0,0.0,sent,7.0,199,183,5,11,16,202,202
159,2.0,0.0,sent,7.0,199,183,5,11,16,863,863
160,2.0,0.0,sent,7.0,199,183,5,11,16,265,265
161,2.0,0.0,sent,7.0,199,183,5,11,16,247,247
162,2.0,0.0,sent,7.0,199,183,5,11,16,924,924
163,2.0,0.0,sent,7.0,199,183,5,11,16,251,251
164,2.0,0.0,sent,7.0,199,183,5,11,16,12,12
165,2.0,0.0,sent,7.0,199,183,5,11,16,1744,1744
166,2.0,0.0,sent,7.0,199,183,5,11,16,599,599
167,2.0,0.0,sent,7.0,199,183,5,11,16,703,703
168,2.0,0.0,sent,7.0,199,183,5,11,16,505,505
169,2.0,0.0,sent,7.0,199,183,5,11,16,385,385
170,3.0,0.0,sent,7.0,199,183,5,11,16,569,569
171,2.0,0.0,sent,7.0,199,183,5,11,16,475,475
172,3.0,0.0,sent,7.0,199,183,5,11,16,806,806
173,2.0,0.0,sent,7.0,199,183,5,11,16,1271,1271
174,2.0,0.0,sent,7.0,199,183,5,11,16,1403,1403
175,2.0,0.0,sent,7.0,199,183,5,11,16,180,180
176,2.0,0.0,sent,7.0,199,183,5,11,16,1066,1066
177,2.0,0.0,sent,7.0,199,183,5,11,16,225,225
178,2.0,0.0,sent,7.0,199,183,5,11,16,923,923
179,2.0,0.0,sent,7.0,199,183,5,11,16,1397,1397
180,3.0,0.0,sent,7.0,199,183,5,11,16,1706,1706
181,2.0,0.0,sent,7.0,199,183,5,11,16,739,739
182,2.0,0.0,sent,7.0,199,183,5,11,16,273,273
183,1.0,0.0,soft,7.0,199,183,5,11,16,1702,1702
184,1.0,0.0,hard,7.0,199,183,5,11,16,1364,1364
185,1.0,0.0,soft,7.0,199,183,5,11,16,1329,1329
186,1.0,0.0,soft,7.0,199,183,5,11,16,1311,1311
187,1.0,0.0,soft,7.0,199,183,5,11,16,1366,1366
188,1.0,0.0,soft,7.0,199,183,5,11,16,14,14
189,1.0,0.0,hard,7.0,199,183,5,11,16,1723,1723
190,1.0,0.0,hard,7.0,199,183,5,11,16,1317,1317
191,1.0,0.0,hard,7.0,199,183,5,11,16,1700,1700
192,,0.0,,,,,,,,0,0
193,,0.0,,,,,,,,1,1
194,,0.0,,,,,,,,2,2
195,,0.0,,,,,,,,3,3
196,,0.0,,,,,,,,4,4
197,,0.0,,,,,,,,5,5
198,,0.0,,,,,,,,6,6
199,,0.0,,,,,,,,7,7
200,,0.0,,,,,,,,8,8
201,,0.0,,,,,,,,9,9
202,,0.0,,,,,,,,11,11
203,,0.0,,,,,,,,13,13
204,,0.0,,,,,,,,15,15
205,,0.0,,,,,,,,16,16
206,,0.0,,,,,,,,17,17
207,,0.0,,,,,,,,18,18
208,,0.0,,,,,,,,19,19
209,,0.0,,,,,,,,20,20
210,,0.0,,,,,,,,21,21
211,,0.0,,,,,,,,22,22
212,,0.0,,,,,,,,23,23
213,,0.0,,,,,,,,24,24
214,,0.0,,,,,,,,26,26
215,,0.0,,,,,,,,27,27
216,,0.0,,,,,,,,28,28
217,,0.0,,,,,,,,29,29
218,,0.0,,,,,,,,30,30
219,,0.0,,,,,,,,31,31
220,,0.0,,,,,,,,33,33
221,,0.0,,,,,,,,34,34
222,,0.0,,,,,,,,35,35
223,,0.0,,,,,,,,36,36
224,,0.0,,,,,,,,37,37
225,,0.0,,,,,,,,38,38
226,,0.0,,,,,,,,39,39
227,,0.0,,,,,,,,40,40
228,,0.0,,,,,,,,42,42
229,,0.0,,,,,,,,43,43
230,,0.0,,,,,,,,44,44
231,,0.0,,,,,,,,45,45
232,,0.0,,,,,,,,46,46
233,,0.0,,,,,,,,47,47
234,,0.0,,,,,,,,48,48
235,,0.0,,,,,,,,49,49
236,,0.0,,,,,,,,51,51
237,,0.0,,,,,,,,52,52
238,,0.0,,,,,,,,53,53
