,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,2,1.0,sent,8,198,170,14,14,28,4
1,3,1.0,sent,8,198,170,14,14,28,14
2,3,1.0,sent,8,198,170,14,14,28,33
3,3,1.0,sent,8,198,170,14,14,28,42
4,3,1.0,sent,8,198,170,14,14,28,176
5,4,1.0,sent,8,198,170,14,14,28,23
6,3,1.0,sent,8,198,170,14,14,28,45
7,4,1.0,sent,8,198,170,14,14,28,174
8,3,1.0,sent,8,198,170,14,14,28,26
9,3,1.0,sent,8,198,170,14,14,28,126
10,4,2.0,sent,8,198,170,14,14,28,142
11,4,1.0,sent,8,198,170,14,14,28,122
12,3,1.0,sent,8,198,170,14,14,28,38
13,2,0.0,sent,8,198,170,14,14,28,40
14,2,0.0,sent,8,198,170,14,14,28,12
15,2,0.0,sent,8,198,170,14,14,28,135
16,2,0.0,sent,8,198,170,14,14,28,104
17,1,0.0,sent,8,198,170,14,14,28,87
18,2,0.0,sent,8,198,170,14,14,28,52
19,2,0.0,sent,8,198,170,14,14,28,169
20,4,0.0,sent,8,198,170,14,14,28,94
21,2,0.0,sent,8,198,170,14,14,28,177
22,2,0.0,sent,8,198,170,14,14,28,60
23,2,0.0,sent,8,198,170,14,14,28,75
24,2,0.0,sent,8,198,170,14,14,28,134
25,2,0.0,sent,8,198,170,14,14,28,129
26,2,0.0,sent,8,198,170,14,14,28,95
27,2,0.0,sent,8,198,170,14,14,28,68
28,3,0.0,sent,8,198,170,14,14,28,181
29,2,0.0,sent,8,198,170,14,14,28,110
30,3,0.0,sent,8,198,170,14,14,28,165
31,2,0.0,sent,8,198,170,14,14,28,80
32,2,0.0,sent,8,198,170,14,14,28,138
33,2,0.0,sent,8,198,170,14,14,28,148
34,2,0.0,sent,8,198,170,14,14,28,144
35,2,0.0,sent,8,198,170,14,14,28,55
36,2,0.0,sent,8,198,170,14,14,28,101
37,2,0.0,sent,8,198,170,14,14,28,119
38,2,0.0,sent,8,198,170,14,14,28,76
39,2,0.0,sent,8,198,170,14,14,28,103
40,2,0.0,sent,8,198,170,14,14,28,2
41,2,0.0,sent,8,198,170,14,14,28,58
42,2,0.0,sent,8,198,170,14,14,28,1
43,2,0.0,sent,8,198,170,14,14,28,61
44,2,0.0,sent,8,198,170,14,14,28,140
45,2,0.0,sent,8,198,170,14,14,28,111
46,2,0.0,sent,8,198,170,14,14,28,137
47,2,0.0,sent,8,198,170,14,14,28,131
48,2,0.0,sent,8,198,170,14,14,28,152
49,2,0.0,sent,8,198,170,14,14,28,158
