,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4.0,2.0,sent,14.0,1010,940,70,0,70,892
1,4.0,2.0,sent,14.0,1010,940,70,0,70,1586
2,3.0,1.0,sent,14.0,1010,940,70,0,70,1241
3,3.0,1.0,sent,14.0,1010,940,70,0,70,1328
4,3.0,1.0,sent,14.0,1010,940,70,0,70,1280
5,4.0,1.0,sent,14.0,1010,940,70,0,70,1597
6,4.0,1.0,sent,14.0,1010,940,70,0,70,560
7,4.0,2.0,sent,14.0,1010,940,70,0,70,790
8,4.0,1.0,sent,14.0,1010,940,70,0,70,1728
9,4.0,1.0,sent,14.0,1010,940,70,0,70,936
10,4.0,1.0,sent,14.0,1010,940,70,0,70,1351
11,3.0,1.0,sent,14.0,1010,940,70,0,70,1516
12,3.0,1.0,sent,14.0,1010,940,70,0,70,390
13,3.0,1.0,sent,14.0,1010,940,70,0,70,527
14,3.0,1.0,sent,14.0,1010,940,70,0,70,197
15,4.0,1.0,sent,14.0,1010,940,70,0,70,973
16,4.0,1.0,sent,14.0,1010,940,70,0,70,840
17,3.0,2.0,sent,14.0,1010,940,70,0,70,654
18,4.0,1.0,sent,14.0,1010,940,70,0,70,209
19,3.0,2.0,sent,14.0,1010,940,70,0,70,87
20,3.0,2.0,sent,14.0,1010,940,70,0,70,495
21,3.0,1.0,sent,14.0,1010,940,70,0,70,1029
22,3.0,1.0,sent,14.0,1010,940,70,0,70,847
23,3.0,2.0,sent,14.0,1010,940,70,0,70,1107
24,4.0,1.0,sent,14.0,1010,940,70,0,70,1610
25,3.0,1.0,sent,14.0,1010,940,70,0,70,768
26,3.0,1.0,sent,14.0,1010,940,70,0,70,1520
27,4.0,1.0,sent,14.0,1010,940,70,0,70,304
28,3.0,1.0,sent,14.0,1010,940,70,0,70,1456
29,3.0,1.0,sent,14.0,1010,940,70,0,70,252
30,3.0,2.0,sent,14.0,1010,940,70,0,70,813
31,3.0,1.0,sent,14.0,1010,940,70,0,70,466
32,4.0,1.0,sent,14.0,1010,940,70,0,70,1314
33,4.0,1.0,sent,14.0,1010,940,70,0,70,777
34,3.0,1.0,sent,14.0,1010,940,70,0,70,1557
35,4.0,2.0,sent,14.0,1010,940,70,0,70,929
36,4.0,1.0,sent,14.0,1010,940,70,0,70,216
37,4.0,1.0,sent,14.0,1010,940,70,0,70,1081
38,3.0,1.0,sent,14.0,1010,940,70,0,70,288
39,3.0,2.0,sent,14.0,1010,940,70,0,70,1432
40,3.0,1.0,sent,14.0,1010,940,70,0,70,400
41,4.0,1.0,sent,14.0,1010,940,70,0,70,128
42,3.0,1.0,sent,14.0,1010,940,70,0,70,317
43,3.0,1.0,sent,14.0,1010,940,70,0,70,1218
44,4.0,1.0,sent,14.0,1010,940,70,0,70,967
45,4.0,2.0,sent,14.0,1010,940,70,0,70,1028
46,3.0,1.0,sent,14.0,1010,940,70,0,70,402
47,4.0,3.0,sent,14.0,1010,940,70,0,70,1047
48,4.0,2.0,sent,14.0,1010,940,70,0,70,531
49,3.0,1.0,sent,14.0,1010,940,70,0,70,211
50,3.0,1.0,sent,14.0,1010,940,70,0,70,564
51,4.0,1.0,sent,14.0,1010,940,70,0,70,1211
52,4.0,1.0,sent,14.0,1010,940,70,0,70,831
53,4.0,3.0,sent,14.0,1010,940,70,0,70,1695
54,3.0,1.0,sent,14.0,1010,940,70,0,70,194
55,3.0,1.0,sent,14.0,1010,940,70,0,70,510
56,4.0,1.0,sent,14.0,1010,940,70,0,70,453
57,4.0,1.0,sent,14.0,1010,940,70,0,70,1094
58,3.0,1.0,sent,14.0,1010,940,70,0,70,1185
59,4.0,1.0,sent,14.0,1010,940,70,0,70,1149
60,3.0,1.0,sent,14.0,1010,940,70,0,70,646
61,4.0,1.0,sent,14.0,1010,940,70,0,70,1363
62,4.0,1.0,sent,14.0,1010,940,70,0,70,1772
63,4.0,1.0,sent,14.0,1010,940,70,0,70,1253
64,4.0,1.0,sent,14.0,1010,940,70,0,70,444
65,3.0,1.0,sent,14.0,1010,940,70,0,70,1027
66,4.0,3.0,sent,14.0,1010,940,70,0,70,916
67,4.0,2.0,sent,14.0,1010,940,70,0,70,1165
68,3.0,1.0,sent,14.0,1010,940,70,0,70,697
69,3.0,1.0,sent,14.0,1010,940,70,0,70,1044
70,3.0,2.0,sent,14.0,1010,940,70,0,70,1684
71,3.0,1.0,sent,14.0,1010,940,70,0,70,784
72,4.0,1.0,sent,14.0,1010,940,70,0,70,1306
73,4.0,1.0,sent,14.0,1010,940,70,0,70,1082
74,4.0,2.0,sent,14.0,1010,940,70,0,70,869
75,4.0,2.0,sent,14.0,1010,940,70,0,70,1258
76,4.0,1.0,sent,14.0,1010,940,70,0,70,1481
77,3.0,1.0,sent,14.0,1010,940,70,0,70,1679
78,4.0,1.0,sent,14.0,1010,940,70,0,70,675
79,4.0,2.0,sent,14.0,1010,940,70,0,70,1428
80,3.0,1.0,sent,14.0,1010,940,70,0,70,1729
81,3.0,1.0,sent,14.0,1010,940,70,0,70,729
82,3.0,1.0,sent,14.0,1010,940,70,0,70,1587
83,3.0,1.0,sent,14.0,1010,940,70,0,70,338
84,4.0,1.0,sent,14.0,1010,940,70,0,70,496
85,4.0,2.0,sent,14.0,1010,940,70,0,70,899
86,3.0,1.0,sent,14.0,1010,940,70,0,70,1483
87,3.0,3.0,sent,14.0,1010,940,70,0,70,950
88,3.0,1.0,sent,14.0,1010,940,70,0,70,637
89,4.0,1.0,sent,14.0,1010,940,70,0,70,1051
90,4.0,1.0,sent,14.0,1010,940,70,0,70,1497
91,3.0,1.0,sent,14.0,1010,940,70,0,70,1336
92,3.0,1.0,sent,14.0,1010,940,70,0,70,1693
93,4.0,1.0,sent,14.0,1010,940,70,0,70,479
94,3.0,4.0,sent,14.0,1010,940,70,0,70,1523
95,2.0,0.0,sent,14.0,1010,940,70,0,70,1406
96,2.0,0.0,sent,14.0,1010,940,70,0,70,1310
97,2.0,0.0,sent,14.0,1010,940,70,0,70,709
98,2.0,0.0,sent,14.0,1010,940,70,0,70,1530
99,2.0,0.0,sent,14.0,1010,940,70,0,70,713
100,2.0,0.0,sent,14.0,1010,940,70,0,70,1430
101,2.0,0.0,sent,14.0,1010,940,70,0,70,1235
102,2.0,0.0,sent,14.0,1010,940,70,0,70,586
103,2.0,0.0,sent,14.0,1010,940,70,0,70,1123
104,3.0,0.0,sent,14.0,1010,940,70,0,70,1093
105,2.0,0.0,sent,14.0,1010,940,70,0,70,555
106,2.0,0.0,sent,14.0,1010,940,70,0,70,1609
107,2.0,0.0,sent,14.0,1010,940,70,0,70,1566
108,3.0,0.0,sent,14.0,1010,940,70,0,70,695
109,2.0,0.0,sent,14.0,1010,940,70,0,70,1077
110,2.0,0.0,sent,14.0,1010,940,70,0,70,1634
111,2.0,0.0,sent,14.0,1010,940,70,0,70,1365
112,2.0,0.0,sent,14.0,1010,940,70,0,70,1754
113,2.0,0.0,sent,14.0,1010,940,70,0,70,201
114,2.0,0.0,sent,14.0,1010,940,70,0,70,330
115,2.0,0.0,sent,14.0,1010,940,70,0,70,314
116,2.0,0.0,sent,14.0,1010,940,70,0,70,341
117,2.0,0.0,sent,14.0,1010,940,70,0,70,1479
118,2.0,0.0,sent,14.0,1010,940,70,0,70,472
119,2.0,0.0,sent,14.0,1010,940,70,0,70,177
120,2.0,0.0,sent,14.0,1010,940,70,0,70,1644
121,2.0,0.0,sent,14.0,1010,940,70,0,70,5
122,2.0,0.0,sent,14.0,1010,940,70,0,70,68
123,2.0,0.0,sent,14.0,1010,940,70,0,70,686
124,3.0,0.0,sent,14.0,1010,940,70,0,70,110
125,2.0,0.0,sent,14.0,1010,940,70,0,70,1320
126,2.0,0.0,sent,14.0,1010,940,70,0,70,1125
127,2.0,0.0,sent,14.0,1010,940,70,0,70,455
128,2.0,0.0,sent,14.0,1010,940,70,0,70,1148
129,3.0,0.0,sent,14.0,1010,940,70,0,70,1112
130,2.0,0.0,sent,14.0,1010,940,70,0,70,634
131,2.0,0.0,sent,14.0,1010,940,70,0,70,1307
132,2.0,0.0,sent,14.0,1010,940,70,0,70,1411
133,2.0,0.0,sent,14.0,1010,940,70,0,70,1289
134,2.0,0.0,sent,14.0,1010,940,70,0,70,1156
135,2.0,0.0,sent,14.0,1010,940,70,0,70,171
136,2.0,0.0,sent,14.0,1010,940,70,0,70,1716
137,2.0,0.0,sent,14.0,1010,940,70,0,70,486
138,2.0,0.0,sent,14.0,1010,940,70,0,70,490
139,2.0,0.0,sent,14.0,1010,940,70,0,70,1463
140,2.0,0.0,sent,14.0,1010,940,70,0,70,1498
141,2.0,0.0,sent,14.0,1010,940,70,0,70,1030
142,3.0,0.0,sent,14.0,1010,940,70,0,70,50
143,2.0,0.0,sent,14.0,1010,940,70,0,70,1129
144,2.0,0.0,sent,14.0,1010,940,70,0,70,237
145,2.0,0.0,sent,14.0,1010,940,70,0,70,59
146,2.0,0.0,sent,14.0,1010,940,70,0,70,243
147,2.0,0.0,sent,14.0,1010,940,70,0,70,195
148,3.0,0.0,sent,14.0,1010,940,70,0,70,396
149,2.0,0.0,sent,14.0,1010,940,70,0,70,31
150,2.0,0.0,sent,14.0,1010,940,70,0,70,1741
151,2.0,0.0,sent,14.0,1010,940,70,0,70,220
152,2.0,0.0,sent,14.0,1010,940,70,0,70,1221
153,2.0,0.0,sent,14.0,1010,940,70,0,70,647
154,2.0,0.0,sent,14.0,1010,940,70,0,70,1360
155,2.0,0.0,sent,14.0,1010,940,70,0,70,1223
156,2.0,0.0,sent,14.0,1010,940,70,0,70,276
157,2.0,0.0,sent,14.0,1010,940,70,0,70,160
158,2.0,0.0,sent,14.0,1010,940,70,0,70,1234
159,2.0,0.0,sent,14.0,1010,940,70,0,70,1524
160,2.0,0.0,sent,14.0,1010,940,70,0,70,1102
161,2.0,0.0,sent,14.0,1010,940,70,0,70,1128
162,2.0,0.0,sent,14.0,1010,940,70,0,70,534
163,2.0,0.0,sent,14.0,1010,940,70,0,70,8
164,2.0,0.0,sent,14.0,1010,940,70,0,70,204
165,2.0,0.0,sent,14.0,1010,940,70,0,70,102
166,2.0,0.0,sent,14.0,1010,940,70,0,70,1283
167,2.0,0.0,sent,14.0,1010,940,70,0,70,77
168,2.0,0.0,sent,14.0,1010,940,70,0,70,388
169,2.0,0.0,sent,14.0,1010,940,70,0,70,1242
170,2.0,0.0,sent,14.0,1010,940,70,0,70,1300
171,2.0,0.0,sent,14.0,1010,940,70,0,70,1727
172,2.0,0.0,sent,14.0,1010,940,70,0,70,405
173,2.0,0.0,sent,14.0,1010,940,70,0,70,1687
174,2.0,0.0,sent,14.0,1010,940,70,0,70,718
175,2.0,0.0,sent,14.0,1010,940,70,0,70,89
176,2.0,0.0,sent,14.0,1010,940,70,0,70,1525
177,2.0,0.0,sent,14.0,1010,940,70,0,70,815
