,Member Rating.1,Opens,Bounce Type,campaign_id,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,email_id
0,4.0,1.0,sent,4.0,1726,1652,33,41,74,1579
1,2.0,1.0,sent,4.0,1726,1652,33,41,74,1492
2,2.0,1.0,sent,4.0,1726,1652,33,41,74,365
3,2.0,2.0,sent,4.0,1726,1652,33,41,74,32
4,3.0,1.0,sent,4.0,1726,1652,33,41,74,1203
5,2.0,1.0,sent,4.0,1726,1652,33,41,74,859
6,3.0,1.0,sent,4.0,1726,1652,33,41,74,135
7,4.0,1.0,sent,4.0,1726,1652,33,41,74,729
8,2.0,1.0,sent,4.0,1726,1652,33,41,74,282
9,3.0,1.0,sent,4.0,1726,1652,33,41,74,40
10,2.0,1.0,sent,4.0,1726,1652,33,41,74,560
11,2.0,1.0,sent,4.0,1726,1652,33,41,74,1153
12,4.0,2.0,sent,4.0,1726,1652,33,41,74,229
13,2.0,1.0,sent,4.0,1726,1652,33,41,74,1523
14,4.0,1.0,sent,4.0,1726,1652,33,41,74,354
15,2.0,1.0,sent,4.0,1726,1652,33,41,74,1330
16,2.0,1.0,sent,4.0,1726,1652,33,41,74,1691
17,4.0,1.0,sent,4.0,1726,1652,33,41,74,1558
18,2.0,2.0,sent,4.0,1726,1652,33,41,74,1466
19,2.0,1.0,sent,4.0,1726,1652,33,41,74,1313
20,3.0,1.0,sent,4.0,1726,1652,33,41,74,183
21,3.0,1.0,sent,4.0,1726,1652,33,41,74,51
22,2.0,1.0,sent,4.0,1726,1652,33,41,74,1559
23,2.0,1.0,sent,4.0,1726,1652,33,41,74,785
24,2.0,1.0,sent,4.0,1726,1652,33,41,74,679
25,2.0,1.0,sent,4.0,1726,1652,33,41,74,799
26,3.0,1.0,sent,4.0,1726,1652,33,41,74,857
27,2.0,1.0,sent,4.0,1726,1652,33,41,74,1679
28,2.0,1.0,sent,4.0,1726,1652,33,41,74,366
29,2.0,1.0,sent,4.0,1726,1652,33,41,74,1294
30,4.0,1.0,sent,4.0,1726,1652,33,41,74,88
31,2.0,1.0,sent,4.0,1726,1652,33,41,74,455
32,4.0,1.0,sent,4.0,1726,1652,33,41,74,1138
33,4.0,1.0,sent,4.0,1726,1652,33,41,74,1400
34,3.0,1.0,sent,4.0,1726,1652,33,41,74,751
35,2.0,1.0,sent,4.0,1726,1652,33,41,74,1333
36,4.0,1.0,sent,4.0,1726,1652,33,41,74,352
37,3.0,1.0,sent,4.0,1726,1652,33,41,74,220
38,3.0,1.0,sent,4.0,1726,1652,33,41,74,1585
39,3.0,1.0,sent,4.0,1726,1652,33,41,74,1063
40,2.0,3.0,sent,4.0,1726,1652,33,41,74,276
41,3.0,1.0,sent,4.0,1726,1652,33,41,74,188
42,3.0,1.0,sent,4.0,1726,1652,33,41,74,1287
43,2.0,1.0,sent,4.0,1726,1652,33,41,74,343
44,4.0,1.0,sent,4.0,1726,1652,33,41,74,540
45,2.0,1.0,sent,4.0,1726,1652,33,41,74,925
46,2.0,1.0,sent,4.0,1726,1652,33,41,74,129
47,3.0,1.0,sent,4.0,1726,1652,33,41,74,1282
48,2.0,1.0,sent,4.0,1726,1652,33,41,74,736
49,2.0,2.0,sent,4.0,1726,1652,33,41,74,722
50,2.0,1.0,sent,4.0,1726,1652,33,41,74,1577
51,2.0,1.0,sent,4.0,1726,1652,33,41,74,1658
52,3.0,1.0,sent,4.0,1726,1652,33,41,74,769
53,2.0,1.0,sent,4.0,1726,1652,33,41,74,1072
54,4.0,1.0,sent,4.0,1726,1652,33,41,74,235
55,2.0,1.0,sent,4.0,1726,1652,33,41,74,723
56,2.0,1.0,sent,4.0,1726,1652,33,41,74,1571
57,3.0,1.0,sent,4.0,1726,1652,33,41,74,405
58,2.0,1.0,sent,4.0,1726,1652,33,41,74,190
59,2.0,1.0,sent,4.0,1726,1652,33,41,74,195
60,3.0,1.0,sent,4.0,1726,1652,33,41,74,664
61,3.0,2.0,sent,4.0,1726,1652,33,41,74,1594
62,2.0,2.0,sent,4.0,1726,1652,33,41,74,1610
63,2.0,2.0,sent,4.0,1726,1652,33,41,74,628
64,2.0,1.0,sent,4.0,1726,1652,33,41,74,1433
65,2.0,2.0,sent,4.0,1726,1652,33,41,74,580
66,2.0,1.0,sent,4.0,1726,1652,33,41,74,1281
67,2.0,1.0,sent,4.0,1726,1652,33,41,74,263
68,2.0,1.0,sent,4.0,1726,1652,33,41,74,765
69,3.0,1.0,sent,4.0,1726,1652,33,41,74,1110
70,2.0,1.0,sent,4.0,1726,1652,33,41,74,116
71,2.0,3.0,sent,4.0,1726,1652,33,41,74,147
72,2.0,3.0,sent,4.0,1726,1652,33,41,74,1689
73,2.0,2.0,sent,4.0,1726,1652,33,41,74,1624
74,2.0,3.0,sent,4.0,1726,1652,33,41,74,432
75,2.0,2.0,sent,4.0,1726,1652,33,41,74,1022
76,3.0,1.0,sent,4.0,1726,1652,33,41,74,1194
