Email Campaign Report
"Title:","Love Parade Last Shoutout | Winner"
"Subject Line:","PARADE FOR LOVE THIS SATURDAY - #FreeHugsNYC All Weekend!"
"Delivery Date/Time:","Thu, May 09, 2019 5:29 pm"

"Overall Stats"
"Total Recipients:","1,010"
"Successful Deliveries:","940"
"Bounces:","70 (6.9%)"
"Times Forwarded:","0"
"Forwarded Opens:","0"
"Recipients Who Opened:","93 (9.9%)"
"Total Opens:","114"
"Last Open Date:","5/12/19 9:37PM"
"Recipients Who Clicked:","4 (0.4%)"
"Total Clicks:","5"
"Last Click Date:","5/10/19 4:54AM"
"Total Unsubs:","3"
"Total Abuse Complaints:","0"
"Times Liked on Facebook:","0"

"Clicks by URL"
"URL","Total Clicks","Unique Clicks"
"http://chooselovenow.co/parade?mc_cid=b4c825516b&mc_eid=[UNIQID]","3","3"
"https://lightsourceuniverse.org/take-part/?mc_cid=b4c825516b&mc_eid=[UNIQID]","2","2"
"https://www.instagram.com/lightsourceuniverse/?mc_cid=b4c825516b&mc_eid=[UNIQID]","0","0"
"https://www.facebook.com/LightSourceUniverse/?mc_cid=b4c825516b&mc_eid=[UNIQID]","0","0"
"https://twitter.com/lightsourcenyc?lang=en&mc_cid=b4c825516b&mc_eid=[UNIQID]","0","0"
"http://lightsourceuniverse.org/take-part?mc_cid=b4c825516b&mc_eid=[UNIQID]","0","0"
